en,ko
You should do that by yourself.,너는 네 손으로 그것을 해야 한다.
This room is too big.,이 방은 너무 커요.
Tom ran for it.,톰은 그것을 위해 달렸다.
Do you really think we can help?,너 진짜 우리가 도울 수 있을 거라고 생각해?
Tom has talent.,톰은 재능이 있다.
I am an honest person.,나는 솔직한 사람이다.
There was an accident.,사고가 벌어졌다.
I've never loved you.,난 널 사랑한 적이 없어.
"Hurry up, or you'll miss your plane.","서둘러, 비행기 놓치겠어."
Stop! Thief!,멈춰! 도둑이야!
I'll be back soon.,금방 돌아올게.
Everyone's going to be there.,모두들 거기 있을 거야.
Neither Tom nor Mary was injured.,톰도 메리도 안 다쳤어.
What's your plan?,계획이 뭐에요?
"You're not mad at me anymore, are you?",너 더 이상 나한테 화내지 않는 거지?
I think I'll buy a new car.,차를 바꿔야겠다.
Is it true that you're a high school teacher?,네가 고등학교 선생님이라는 게 사실이니?
It's really hot here.,여기 정말 더워졌다.
Have you ever thought about quitting your job?,사직할 것을 생각해 본 적이 있나요?
Wood burns.,나무가 탄다.
"Thanks for your help, Tom.","도와줘서 고마워, 톰."
My parents came to see me off at the airport.,우리 부모님께서는 나를 배웅하러 공항에 오셨다.
Tom didn't have dinner last night.,톰은 지난밤에 저녁을 걸렀다.
It works.,동작하네.
How safe are e-cigarettes?,전자담배는 얼마나 안전해?
I don't know how much this motorcycle is.,나는 이 오토바이가 얼마인지 모른다.
I'm in jail.,나는 수감되었다.
Tom acts like a child.,톰은 애같이 굴어.
I have an older sister.,나에게는 누나가 있다.
Tom climbed the mountain.,톰은 그 산을 올라갔다.
There you are.,거기 있습니다.
These apples look very fresh.,이 사과는 매우 신선해 보인다.
You should wear a hat and sunglasses.,모자와 선글라스를 쓰는 것이 좋다.
I think I'll buy a new car.,차를 새로 살 생각이다.
Watch out!,조심해!
Do you like it?,너 좋아해?
"I won't force you to do that, but I think you should.",나는 네가 그렇게 하도록 강요하지는 않겠지만 그렇게 해야 할거야
Release him.,그를 놓아 줘.
Are you trying to hit on me?,지금 나를 유혹하는 거야?
Tom was too old.,톰은 너무 늙었어.
Can you tell where this road goes?,이 길이 어디로 가는지 알려 줄래?
"Quick, hide over here!","빨리, 이쪽으로 숨어!"
Linux is open source software.,리눅스는 오픈 소스 소프트웨어야.
You're quite right.,당신 말이 맞아요.
I like winter.,난 겨울이 좋아.
I enjoy reading.,나는 독서를 즐긴다.
I'm extremely shy.,난 극히 낯을 가려.
I want this.,이거 갖고 싶어.
How wonderful!,이렇게 멋질 수가!
Don't waste your time trying to convince Tom.,톰을 설득하려고 시간을 낭비하지마.
Keep dancing.,계속 춤추고 있어봐.
Tom isn't a drug addict.,톰은 마약 중독자가 아냐.
I'm still in school.,저는 아직 학교에 다녀요.
Tom wanted a bigger discount.,톰은 더 할인해 주기를 원했다.
I feel much better.,기분이 훨씬 낫다.
I think that that's inaccurate.,이건 부정확하다고 생각해.
He talks too fast.,그는 너무 빨리 말한다.
We had a good time yesterday.,우리는 어제 즐겁게 지냈다.
Can you justify your action?,네 행동을 정당화할 수 있니?
My daughter is only three years old.,내 딸은 3살일 뿐이야.
"Actually, we don't have a choice.",사실상 우리는 다른 방법이 없다
You're very astute.,넌 참 눈치가 빠르네.
Do you think animals have souls?,동물에게 영혼이 있다고 생각해?
Oh please!,아 제발!
I suddenly got very worried.,난 갑자기 너무 걱정이 되었어.
I don't know when he's coming.,걔 언제 올지 모르겠어
I'm too fat.,나 너무 뚱뚱해.
Tom is building a wall.,톰은 벽을 세우고 있다.
That's my only focus.,그게 내 유일한 관심사야.
He says things on the spur of the moment.,그 사람은 충동적으로 얘기해.
"If someone who doesn't know your background says that you sound like a native speaker, it means they probably noticed something about your speaking that made them realize you weren't a native speaker. In other words, you don't really sound like a native speaker.",만일 네 사정도 잘 모르는 사람이 원어민 같다고 말한다면 그건 그 사람이 네가 원어민이 아니라고 깨닫게 해주는 뭔가를 네 말 속에서 캐치해 낸 것이겠지. 다르게 표현하자면 넌 원어민처럼 말하지 않아.
Please relax.,제발 진정해.
It happened in Boston.,그것은 보스턴에서 일어났습니다.
Tom is a runner.,톰은 달리기 선수야.
Tom drinks beer.,톰은 맥주를 마신다.
Are there any girls here you haven't yet met?,네가 아직 만난 적 없는 여자애들도 여기 있어?
I can't sleep.,잠이 와.
Most people think that I'm crazy.,대부분의 사람들은 내가 미쳤다고 생각해
The old church by the lake is very beautiful.,그 호수의 오래된 교회는 정말 아름답다.
Nobody came.,아무도 안왔어.
Why are you always late for school?,넌 왜 맨날 학교에 늦니?
How deep?,얼마나 깊게?
Attack!,공격!
I haven't heard from anyone.,아무에게도 들어본 적이 없어.
"I'm Canadian, too.",나도 캐나다 사람이에요.
Skip the boring chapters.,재미없는 부분은 건너뜁시다.
Are you in there?,너 거기 있어?
I bought myself something to eat.,내가 직접 먹을 것을 샀다.
Keep talking.,계속 말하고 있어봐.
I don't like your name.,나는 네 이름이 마음에 들지 않는다.
We'll learn the truth soon.,우리는 곧 진실을 알게 될거야.
Tom nodded understandingly.,톰은 이해하고 있다는 듯이 고개를 끄덕였다.
Would you like coffee or tea?,커피와 차 중에 어떤 걸 드시겠어요?
I hate eating alone.,난 혼자서 먹는 것을 싫어해.
"Tom occasionally prods me to work out with him, but I'm really not interested.",톰은 때때로 같이 운동하자고 졸라댔지만 나는 정말 운동에 관심이 없다.
Can you give me directions to the subway station?,지하철로 가는 길 좀 가르쳐 줄 수 있어?
Drink some water.,물 좀 마셔.
I've had enough of your shenanigans.,너의 속임수에 넌더리가 난다.
Did you know him?,그를 알고 계셨어요?
I wonder if Tom has already left.,Tom이 이미 떠난 건지 궁금해요.
Tom folded the paper before handing it to Mary.,톰은 종이를 접어 메리에게 건넸다.
Give me the file.,나한테 파일 줘.
What're you doing?,당신은 무엇을 하고 있습니까?
I was skiing last weekend.,나는 지난 주말에 스키를 탔다.
"Tom is short for his age, isn't he?",톰은 나이에 비해 키가 작지.
Have you studied Darwin's theory of evolution?,다윈의 진화이론을 공부해본 적 있어?
Welcome.,환영합니다.
Tom wondered what Mary wanted to do.,톰이 메리가 뭘 원하는지 굼금해하더라.
She is dressed in white.,그는 흰 옷을 입고 있다.
Where will you live?,어디서 살 거야?
Do you remember?,기억나?
Hold it!,잠깐만!
"Tom and Mary used to be friends, right?",톰이랑 메리는 한 때 친구였었지?
Do you want this?,이것을 원하십니까?
I don't think Tom is able to do that.,난 톰이 저런걸 할 수 있으리라고 생각하지 않아.
Perhaps you should tell Tom.,아마 너는 톰에게 말해야 해.
Hold still.,가만히 있어.
I'm afraid of dying.,나는 죽는 게 두렵다.
Might I come in?,내가 들어와도 될까?
Tom clapped.,톰이 박수쳤어.
I'm tired of dancing.,춤추는 것은 질렸어.
"I eat tomatoes, but Tom doesn't.",나는 토마토를 먹지만 톰은 먹지 않는다.
You're the one who gave us all this.,우리에게 이 모든 걸 준 사람이 바로 당신이다.
Keep digging.,계속 땅 파고 있어봐.
Tom is allowed to stay. The rest of you have to leave.,톰은 남아 있어도 돼. 너희 나머지는 나가야 해.
Turn left.,왼쪽으로 돌아.
Tom met Mary in 2013.,톰은 메리를 2013년에 만났어.
Tom gasped.,톰이 헉 소리를 냈어.
The price of eggs is going up.,계란 값이 올랐다.
He is just killing time.,그는 단지 시간을 때우고 있을 뿐이다.
She ordered a cup of tea.,그녀는 차 한 잔을 주문했다.
It is said that he was very rich.,그는 매우 돈이 많다고 한다.
"Tom can read, can't he?",톰은 읽을 수 있지?
Not all horses were born equal. A few were born to win.,모든 말들이 동등하게 태어난 건 아니야. 몇몇은 이기기 위해 태어났어.
I don't translate novels anymore.,나는 소설 번역은 더 이상 안할 거야.
You should smoke less.,담배를 줄이셔야 해요.
"The sooner, the better.",더 빨리할수록 좋다.
I understand.,이해해.
She is easygoing.,그녀는 대범하다.
"You talked to Tom yesterday, didn't you?",네가 어제 톰에게 말했지?
Tom is quite motivated.,톰은 꽤 의욕 있어.
Everybody wants to be loved.,누구나 사랑 받고 싶어 해.
I only did the bare minimum.,난 가장 최소한의 정도만 했어.
What do you do on Sundays?,일요일에 뭐 할거야?
Tom said that book was interesting.,톰은 책이 흥미로웠다고 말했다.
She lives nearby.,그녀는 근처에 산다.
Tom said Mary has been to Boston three times.,메리가 보스턴에 세 번이나 갔다고 톰이 말하더라.
What fun!,재밌잖아!
Tom isn't tall for his age.,톰은 나이에 비해 키가 크지 않아.
Is that all you want to say?,그게 네가 하고 싶은 말 전부니?
I'm sick of cat videos.,난 고양이 동영상에 질렸어.
That's my dictionary.,그건 내 사전이야.
Tom is married to a Canadian named Mary.,톰은 메리라는 캐나다인과 결혼했어.
"Hurry up, or you'll be late for school.","서둘러, 학교 늦겠다."
His long speech bored us all.,그의 연설이 길어서 우리 모두가 지루했다.
We know what Tom is going through.,우리는 톰이 겪고있는 것을 알고 있다.
I'm sorry I opened my mouth.,내가 입을 열어서 미안해.
"I like your cat, but she doesn't like me.","나는 네 고양이가 좋은데, 네 고양이는 나를 싫어하네."
Get into the car.,차에 타.
I thought that you didn't want anything to eat.,네가 아무것도 안 먹고 싶어 한다고 생각했어.
"Tom is quite shy, isn't he?",톰은 좀 소심한 것 같지 않아?
What causes loneliness?,무엇이 외로움을 불러 일으켜?
How did you know Tom would help?,톰이 도와주리라는 것을 어떻게 알았니?
This is a battle worth fighting.,이건 싸울 가치가 있는 결투야.
That's my responsibility.,그것은 나의 책임이다.
I have to leave now.,지금 떠나야 한다.
I'm not a teacher.,나는 교사가 아니다.
Turn around.,돌아.
I was at home yesterday.,어제 나는 집에 있었어.
Tom drowned.,톰이 익사했어.
Pelicans have large beaks.,펠리컨은 큰 부리를 갖고 있다.
Tom attempted suicide.,톰은 자살을 시도했다.
Tom has decided to get his house repainted.,톰은 집을 다시 페인트칠하기로 마음먹었다.
What we need is a break.,우리한테 필요한 건 휴식이야.
My grandfather died five years ago.,우리 할아버지는 5년 전에 돌아가셨다.
We waited.,우린 기다렸어.
I laughed.,나는 웃었어.
I hate myself as well.,나도 내 자신을 싫어해.
We're both from Boston.,우리 모두 보스턴 출신이다.
The fact Tom did that can't be denied.,톰이 그걸 했다는 사실은 부인할 수 없는 사실이야.
Take this.,이거 가져.
Please tell him to wait.,그에게 기다리라고 말해 주세요.
Think about this.,생각 좀 해봐.
It doesn't hurt.,아프지 않아.
Tom wants to quit.,톰은 그만두고 싶어 한다.
I shouldn't've eaten that.,난 그걸 먹지 말았어야 했어.
Are you crying?,우는 거야?
Tom has some experience in teaching French.,톰은 프랑스어를 가르친 경험이 있어.
Tom has a dog and three cats.,톰은 개 한 마리와 고양이 세 마리를 키우고 있어.
You have one hour.,당신에게 한 시간이 주어졌습니다.
We have no evidence that such a virus exists.,우리에겐 그런 종류의 바이러스가 존재하는지 증거가 없어.
Physics is more difficult than mathematics.,물리는 수학보다 훨씬 더 어려워.
The girls won't play tennis tomorrow.,그 소녀들은 내일 테니스를 치고 싶어하지 않는다.
I'll buy that.,나는 그것을 구매할 것이다.
Hold still.,가만히 있으세요.
Suicide isn't painful.,자살은 고통스럽지 않아.
